method,node,alpha,eps,runtime,Opertion
aesplocgd,216,0.001584893192461114,1e-08,62.45734446682036,457214204
aesplocgd,0,0.025118864315095808,1e-08,13.729048726148903,86562421
locgd,216,0.001,1e-08,542.2180574862286,4418842224
locgd,725,0.006309573444801936,1e-08,150.0373933808878,679696543
locgd,962,0.001,1e-08,435.22413486242294,4426263845
appr,797,0.06309573444801933,1e-08,9.44721089862287,51964276
aesplocgd,922,0.01584893192461114,1e-08,24.962723966687918,124896871
aespappr,788,0.06309573444801933,1e-08,6.452992411330342,29842275
appr,725,0.006309573444801936,1e-08,228.2079460164532,1008460447
locgd,384,0.039810717055349734,1e-08,14.166582840494812,59846396
locgd,198,0.039810717055349734,1e-08,12.981125080026686,64128829
aespappr,804,0.001,1e-08,165.1280387667939,562653225
aespappr,193,0.01,1e-08,42.464440731331706,147745207
aespappr,421,0.001584893192461114,1e-08,79.92356396280229,440572009
aespappr,857,0.039810717055349734,1e-08,12.254936845041811,49379987
aesplocgd,121,0.001584893192461114,1e-08,80.28412643168122,461109338
appr,198,0.002511886431509582,1e-08,475.6639430196956,2564652059
aesplocgd,522,0.003981071705534978,1e-08,50.02125079091638,288435811
locgd,27,0.001,1e-08,485.77872042451054,4426809557
locgd,532,0.001,1e-08,354.0727725615725,4426047754
locgd,0,0.003981071705534978,1e-08,188.80324556771666,1096245555
appr,583,0.1,1e-08,3.2028177734464407,28819632
aesplocgd,216,0.01584893192461114,1e-08,19.501653325743973,113975304
appr,410,0.003981071705534978,1e-08,426.06428072042763,1604698083
aespappr,969,0.006309573444801936,1e-08,66.73673297930509,200823452
aesplocgd,785,0.003981071705534978,1e-08,45.51106926985085,288362857
appr,237,0.039810717055349734,1e-08,25.648284696042538,143479680
locgd,28,0.001584893192461114,1e-08,387.405226171948,2780426832
locgd,384,0.001584893192461114,1e-08,587.0795585131273,2772619550
locgd,362,0.001584893192461114,1e-08,243.56483625248075,2785413242
appr,785,0.025118864315095808,1e-08,34.47921583149582,226770471
aespappr,44,0.039810717055349734,1e-08,12.40988415852189,40942925
locgd,661,0.002511886431509582,1e-08,376.8145792931318,1747522880
